id,area_building,area_rtu,rtu_n,hp_list,hp
fce27ab0-7bc9-4f27-bad3-b9d93234d7ad,6741,105,4,"['2.40', '2.40', '2.40', '2.40']",9.6
95f6270d-f640-409e-9ff0-3a055fa1f90f,12249,153,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
8d79e38e-fde3-4a8e-b8e4-a81bc220a4ff,7715,179,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
90cb99ce-6521-4c99-96e3-38ad486e5ee8,7237,158,4,"['2.90', '2.90', '2.90', '2.90']",11.6
9955bd0c-4c71-45c6-abad-bc0bf2af1a57,13465,150,3,"['5.00', '3.00', '0.00']",8.0
fa6cc01e-d6f0-44b4-9e1b-768d29c1d606,7920,168,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
b6a64dda-bb8c-4766-aaa6-d515dcf8154d,41833,183,3,"['5.00', '5.00', '5.00']",15.0
dccea32d-c85c-4540-a6d1-95101ed6e70b,54253,565,7,"['2.40', '15.00', '1.00', '1.00', '0.00', '0.00', '0.00']",19.4
cbeaaac3-f6d3-4927-9b4b-2dc2e8ccbbe6,5601,90,3,"['2.40', '2.40', '2.40']",7.2
80eab585-285b-4557-bbfe-ea5515633e94,7869,119,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
542f4ab7-5d71-4428-ab11-027eae41c9de,8089,166,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
995a6b7c-73a4-483d-965f-9d9b3082f1b8,6982,130,4,"['2.40', '2.40', '2.40', '2.40']",9.6
7ecc4f7f-839a-4d49-a95f-3eec69d0b4a3,26981,365,6,"['1.50', '3.00', '5.00', '5.00', '5.00', '3.00']",22.5
02aef735-0d10-4417-aab9-c9cb703dc63c,8012,168,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
811ff936-6290-4afd-960d-54c52294420f,7433,103,4,"['2.40', '2.40', '2.40', '2.40']",9.6
90eced37-6410-458e-b6e7-746f1a086815,6554,104,4,"['2.40', '2.40', '2.40', '1.00']",8.2
ddb79ea2-7867-4ac5-8eed-da5f4922211b,10493,187,6,"['1.50', '1.50', '1.50', '1.50', '1.00', '1.00']",8.0
f05fbbc8-b109-45b1-bfbd-caf0882a1066,45486,292,8,"['2.90', '2.90', '2.90', '2.90', '2.90', '2.90', '2.90', '2.90']",23.2
88996335-e2cc-4535-be59-921baceb7e97,32915,240,4,"['3.00', '3.00', '5.00', '5.00']",16.0
